Tool,Dataset,Perrcent_identity,TP,TN,FP,FN,TPR,FPR,Precision,F1 score,Balanced accuracy
MicFunPred,cameroon,97,240,7261,761,749,24.26693629929221,9.486412365993518,23.976023976023978,24.120603015075375,57.31260624519051
PICRUSt2,cameroon,97,2,8881,27,1006,0.1984126984126984,0.30309833857207,6.896551724137931,0.3857280617164898,48.3607872406469
Piphillin,cameroon,97,25,6970,115,979,2.49003984063745,1.6231474947071278,17.857142857142858,4.37062937062937,52.770564132056144
MicFunPred,hmp,97,1439,5491,1010,1069,57.37639553429027,15.536071373634824,58.75867701102491,58.059310066572515,71.23147265185392
PICRUSt2,hmp,97,1567,6525,900,932,62.70508203281312,12.121212121212121,63.518443453587345,63.10914216673378,75.51005986545533
Piphillin,hmp,97,1384,4724,1032,1105,55.6046605062274,17.92911744266852,57.284768211920536,56.4322120285423,69.16391438559657
MicFunPred,indian,97,268,7227,953,554,32.60340632603406,11.65036674816626,21.94922194922195,26.23592755751346,57.414657241157684
PICRUSt2,indian,97,573,6525,2591,250,69.62332928311056,28.422553751645456,18.10998735777497,28.743416102332585,57.20997522870298
Piphillin,indian,97,536,4537,2958,282,65.52567237163814,39.466310873915944,15.34058385804236,24.860853432282003,54.74437368872236
MicFunPred,primate,97,1213,4493,2365,987,55.13636363636364,34.48527267424905,33.90162101732812,41.98684665974386,57.94533605610931
PICRUSt2,primate,97,1158,5488,2262,1051,52.42191036668176,29.18709677419355,33.85964912280702,41.144075324213894,58.89342755880372
Piphillin,primate,97,851,4634,1409,1333,38.96520146520147,23.31623365877875,37.65486725663717,38.2988298829883,57.657666576198594
MicFunPred,cameroon,98,187,7286,732,802,18.90798786653185,9.12945871788476,20.348204570184983,19.601677148846964,55.216139871640465
PICRUSt2,cameroon,98,0,8906,1,1008,0.0,0.011227124733355787,0.0,0,44.9162800080694
Piphillin,cameroon,98,201,6610,506,803,20.0199203187251,7.110736368746487,28.42998585572843,23.495032144944474,58.798832129267154
MicFunPred,hmp,98,1260,5778,721,1248,50.23923444976076,11.094014463763656,63.60424028268551,56.137224326130536,72.92082210547596
PICRUSt2,hmp,98,1559,6519,906,940,62.38495398159264,12.2020202020202,63.24543610547667,62.81224818694601,75.32160530303999
Piphillin,hmp,98,1468,4741,997,1021,58.97950984331056,17.375392122690833,59.55375253549696,59.26524020993136,70.91710535487101
MicFunPred,indian,98,247,7234,946,575,30.04866180048662,11.56479217603912,20.704107292539817,24.516129032258064,56.670404267348154
PICRUSt2,indian,98,615,6484,2634,208,74.726609963548,28.88791401623163,18.928901200369346,30.20628683693517,57.91035615906094
Piphillin,indian,98,556,4531,2958,262,67.97066014669927,39.49793029777006,15.822424587364825,25.669436749769158,55.17805977959937
MicFunPred,primate,98,1078,4631,2217,1122,49.0,32.37441588785047,32.716236722306526,39.23566878980892,56.606684326736435
PICRUSt2,primate,98,922,5865,1877,1287,41.73834314169307,24.244381296822525,32.94033583422651,36.82108626198083,57.472684695636744
Piphillin,primate,98,833,4911,1125,1351,38.141025641025635,18.63817097415507,42.54341164453524,40.22211492032834,60.48441741600764
MicFunPred,cameroon,99,198,7393,625,791,20.020222446916076,7.7949613369917685,24.05832320777643,21.85430463576159,57.196561408384795
PICRUSt2,cameroon,99,0,8907,0,1008,0.0,0.0,0,0,0
Piphillin,cameroon,99,18,7007,61,986,1.7928286852589643,0.8630447085455575,22.78481012658228,3.32409972299169,55.224508153495066
MicFunPred,hmp,99,1256,5781,718,1252,50.079744816586924,11.047853515925526,63.627152988855116,56.04640785363677,72.9126807173765
PICRUSt2,hmp,99,1512,6499,924,987,60.50420168067227,12.447797386501415,62.06896551724138,61.276595744680854,74.44217712143126
Piphillin,hmp,99,1670,4655,1083,819,67.09521896343912,18.874172185430464,60.66109698510716,63.71613887829073,72.84973007823132
MicFunPred,indian,99,253,7099,1081,569,30.77858880778589,13.215158924205378,18.96551724137931,23.46938775510204,55.7725343118738
PICRUSt2,indian,99,602,6524,2600,221,73.14702308626974,28.496273564226215,18.800749531542785,29.91304347826087,57.762124209804014
Piphillin,indian,99,551,4517,2980,267,67.35941320293398,39.74923302654395,15.604644576607193,25.339158427224643,55.01177044883872
MicFunPred,primate,99,699,5151,1696,1501,31.772727272727273,24.769972250620707,29.18580375782881,30.424374319912946,53.31058077248025
PICRUSt2,primate,99,772,6095,1643,1437,34.94794024445451,21.232876712328768,31.96687370600414,33.391003460207614,56.44413786203022
MicFunPred,cameroon,100,97,7691,324,892,9.80788675429727,4.0424204616344355,23.040380047505938,13.75886524822695,56.323871720129524
MicFunPred,hmp,100,1198,5825,673,1310,47.76714513556619,10.357032933210219,64.02993051843934,54.71568851335922,72.83486715130097
MicFunPred,indian,100,453,6783,1395,369,55.1094890510949,17.05796038151137,24.512987012987015,33.932584269662925,59.676795519916325
MicFunPred,primate,100,623,5420,1410,1577,28.31818181818182,20.644216691068813,30.644367929168716,29.435388613276636,54.05306862944072
